canonical_institution,country,paper_count,raw_variants_count,raw_variants
Chengdu University of Technology,China,1,1,"Chengdu University of Technology, Sichuan, Chengdu, China"
City University of Macau,Macao,1,1,"Faculty of Education, City University of Macau, Taipa, Macao"
Copenhagen Business School,Denmark,1,1,"Copenhagen Business School, Denmark"
Durham University,United Kingdom,1,1,"Durham University, Durham, United Kingdom"
German Aerospace Center,Germany,1,1,"German Aerospace Center, Germany"
Hacettepe University,Turkey,1,1,"Hacettepe University, Ankara, 06050, Turkey"
Ibn Sina Hospital,Kuwait,1,1,"Department of Neurology, Ibn Sina Hospital, Kuwait City, Kuwait"
Indira Gandhi National Open University,India,1,1,"Indira Gandhi National Open University, New Delhi, India"
Inonu University,Turkey,1,1,"Distance Education Application and Research Center, Inonu University, Malatya, Turkey"
KU Leuven,Belgium,1,1,"KU Leuven, Leuven, Belgium"
King Abdulaziz University,Saudi Arabia,1,1,"Faculty of Computing and Information Technology, King Abdulaziz University, Saudi Arabia"
Kumamoto University,Japan,1,1,"Kumamoto University, Kumamoto, Japan"
La Salle-Universitat Ramon Llull,Spain,1,1,"La Salle-Universitat Ramon Llull, Barcelona, Spain"
Luleå University of Technology,Sweden,1,1,Luleå University of Technology
Maastricht University,Netherlands,1,1,"Maastricht University, Maastricht, Netherlands"
Middle East Technical University,Turkey,1,1,"Middle East Technical University, Ankara, 06800, Turkey"
National Technical University of Athens,Greece,1,1,"School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece"
Northwest University,China,1,1,"Northwest University, Xi’an, China"
Peking University,China,1,1,"Graduate School of Education, Peking University, Beijing, China"
Pontifical Catholic University of Peru,Peru,1,1,"Pontifical Catholic University of Peru, Lima, Peru"
Prince of Songkla University,Thailand,1,1,"Prince of Songkla University, Thailand"
Ryerson University,Canada,1,1,"Ryerson University, Canada"
Stanford University,United States,1,1,"Stanford University, Stanford, CA, United States"
Swansea University,United Kingdom,1,1,"Swansea University, Swansea, Wales, United Kingdom"
TU Darmstadt,Germany,1,1,"TU Darmstadt, Germany"
TU Dublin,Ireland,1,1,"TU Dublin, Dublin, Ireland"
Tecnológico de Monterrey,Mexico,1,1,"Tecnologico de Monterrey, Monterrey, Mexico"
Temple University,United States,1,1,"Temple University, Philadelphia, PA, United States"
Ulster University,Ireland,1,1,"Ulster University, Coleraine, Ireland"
Universidad Internacional de la Rioja,Spain,1,1,"Universidad Internacional de la Rioja, Logroño, 26006, Spain"
Universiti Teknologi MARA,Malaysia,1,1,"Universiti Teknologi MARA, Malaysia"
University College Dublin,Ireland,1,1,"University College Dublin, Dublin, Ireland"
University of Alicante,Spain,1,1,"University of Alicante, Alicante, Spain"
University of Burgos,Spain,1,1,"Department of Specific Didactics, University of Burgos, Burgos, Spain"
University of Cambridge,United Kingdom,1,1,"Raspberry Pi Computing Education Research Centre, University of Cambridge, Cambridge, United Kingdom"
University of Coimbra,Portugal,1,1,"University of Coimbra, Coimbra, Portugal"
University of Copenhagen,Denmark,1,1,"University of Copenhagen, Copenhagen, Denmark"
University of Geneva,Switzerland,1,1,"Institute of Demography and Socioeconomics & Centre LIVES, University of Geneva, Geneva, Switzerland"
University of Glasgow,United Kingdom,1,1,"University of Glasgow, Glasgow, United Kingdom"
University of Groningen,Netherlands,1,1,"University of Groningen, Groningen, Netherlands"
University of Göttingen,Germany,1,1,"University of Göttingen, Germany"
University of Lapland,Finland,1,1,"Faculty of Education, University of Lapland, Rovaniemi, Finland"
University of Luxembourg,Luxembourg,1,1,"Department of Behavioural and Cognitive Sciences, University of Luxembourg, Luxembourg"
University of Macedonia,Greece,1,1,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece"
University of Namibia,Namibia,1,1,"University of Namibia, Windhoek, Namibia"
University of Nevada,United States,1,1,"University of Nevada, Reno, NV, United States"
University of Nicosia,Cyprus,1,1,"Department of Education, University of Nicosia, Nicosia, Cyprus"
University of North Texas,United States,1,1,"College of Information, University of North Texas, Denton, TX, United States"
University of Porto,Portugal,1,1,"University of Porto, Porto, Portugal"
University of Siegen,Germany,1,1,"University of Siegen, Germany"
University of South Carolina,United States,1,1,"University of South Carolina, United States"
University of Utah,United States,1,1,"The University of Utah, Salt Lake City, UT, United States"
University of Washington,United States,1,1,"University of Washington, Seattle, WA, United States"
University of Zaragoza,Spain,1,1,"University of Zaragoza, Zaragoza, Spain"
Università degli Studi di Perugia,Italy,1,1,"Università degli Studi di Perugia, Perugia, Italy"
Université de Montpellier,France,1,1,"Université de Montpellier, Montpellier, France"
Université de Paris,France,1,1,"Center for Research and Interdisciplinarity (CRI), University of Paris and INSERM1284, Paris, 75007, France"
Université de Technologie de Compiègne,France,1,1,"Université de Technologie de Compiègne, R. du docteur Schweitzer CS 60319, Compiègne, 60203 Cedex, France"
Valamis Group,Finland,1,1,"Valamis Group Ltd, Joensuu, Finland"
Vilnius University,Lithuania,1,1,"Vilnius University, Vilnius, Lithuania"
Virginia Tech,United States,1,1,"Virginia Tech Carilion School of Medicine, Roanoke, VA, United States"
Willamette University,United States,1,1,"Willamette University, Salem, OR, United States"
Zagreb University of Applied Sciences,Croatia,1,1,"Zagreb University of Applied Sciences, Zagreb, Croatia"
